Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [96/379] OK 21_2.mp4 -> 166 frame, 26 chuoi
  [97/379] OK 21_3.mp4 -> 138 frame, 20 chuoi
  [98/379] OK 21_4.mp4 -> 128 frame, 18 chuoi
  [99/379] OK 21_5.mp4 -> 79 frame, 8 chuoi
  [100/379] OK 21_6.mp4 -> 106 frame, 14 chuoi
  [101/379] BO QUA 21_7.mp4 (chi co 29 frame co pose < 40)
  [102/379] OK 21_8.mp4 -> 124 frame, 17 chuoi
  [103/379] OK 21_9.mp4 -> 51 frame, 3 chuoi
  [104/379] OK 22_1.mp4 -> 144 frame, 21 chuoi
  [105/379] OK 22_10.mp4 -> 114 frame, 15 chuoi
  [106/379] OK 22_2.mp4 -> 98 frame, 12 chuoi
  [107/379] OK 22_3.mp4 -> 71 frame, 7 chuoi
  [108/379] OK 22_4.mp4 -> 112 frame, 15 chuoi
  [109/379] OK 22_5.mp4 -> 130 frame, 19 chuoi
  [110/379] OK 22_6.mp4 -> 82 frame, 9 chuoi
  [111/379] OK 22_7.mp4 -> 100 frame, 13 chuoi
  [112/379] OK 22_8.mp4 -> 102 frame, 13 chuoi
  [113/379] OK 22_9.mp4 -> 119 frame, 16 chuoi
  [114/379] BO QUA 23_1.mp4 (chi co 37 frame co pose < 40)
  [115/379] OK 23_10.mp4 -> 69 frame, 6 chuoi
  [116/379] OK 23_11.mp4 -> 98 frame, 12 chuoi
  [117/379] OK 23_12.mp4 -> 64 frame, 5 chuoi
  [118/379] OK 23_2.mp4 -> 101 frame, 13 chuoi
  [119/379] OK 23_3.mp4 -> 80 frame, 9 chuoi
  [120/379] OK 23_4.mp4 -> 114 frame, 15 chuoi
  [121/379] OK 23_5.mp4 -> 65 frame, 6 chuoi
  [122/379] OK 23_6.mp4 -> 40 frame, 1 chuoi
  [123/379] OK 23_7.mp4 -> 124 frame, 17 chuoi
  [124/379] OK 23_8.mp4 -> 94 frame, 11 chuoi
  [125/379] OK 23_9.mp4 -> 122 frame, 17 chuoi
  [126/379] OK 24_1.mp4 -> 103 frame, 13 chuoi
  [127/379] BO QUA 24_10.mp4 (chi co 25 frame co pose < 40)
  [128/379] OK 24_11.mp4 -> 71 frame, 7 chuoi
  [129/379] BO QUA 24_12.mp4 (chi co 37 frame co pose < 40)
  [130/379] OK 24_13.mp4 -> 162 frame, 25 chuoi
  [131/379] OK 24_14.mp4 -> 104 frame, 13 chuoi
  [132/379] OK 24_15.mp4 -> 120 frame, 17 chuoi
  [133/379] OK 24_16.mp4 -> 91 frame, 11 chuoi
  [134/379] OK 24_17.mp4 -> 61 frame, 5 chuoi
  [135/379] OK 24_18.mp4 -> 130 frame, 19 chuoi
  [136/379] OK 24_19.mp4 -> 157 frame, 24 chuoi
  [137/379] OK 24_2.mp4 -> 61 frame, 5 chuoi
  [138/379] OK 24_20.mp4 -> 146 frame, 22 chuoi
  [139/379] OK 24_21.mp4 -> 117 frame, 16 chuoi
  [140/379] OK 24_22.mp4 -> 109 frame, 14 chuoi
  [141/379] OK 24_3.mp4 -> 73 frame, 7 chuoi
  [142/379] OK 24_4.mp4 -> 85 frame, 10 chuoi
  [143/379] OK 24_5.mp4 -> 66 frame, 6 chuoi
  [144/379] OK 24_6.mp4 -> 72 frame, 7 chuoi
  [145/379] OK 24_7.mp4 -> 73 frame, 7 chuoi
  [146/379] OK 24_8.mp4 -> 100 frame, 13 chuoi
  [147/379] OK 24_9.mp4 -> 57 frame, 4 chuoi
  [148/379] OK 25_1.mp4 -> 159 frame, 24 chuoi
  [149/379] OK 25_10.mp4 -> 92 frame, 11 chuoi
  [150/379] OK 25_2.mp4 -> 42 frame, 1 chuoi
  [151/379] OK 25_3.mp4 -> 176 frame, 28 chuoi
  [152/379] OK 25_4.mp4 -> 99 frame, 12 chuoi
  [153/379] OK 25_5.mp4 -> 176 frame, 28 chuoi
  [154/379] OK 25_6.mp4 -> 70 frame, 7 chuoi
  [155/379] OK 25_7.mp4 -> 140 frame, 21 chuoi
  [156/379] OK 25_8.mp4 -> 98 frame, 12 chuoi
  [157/379] OK 25_9.mp4 -> 116 frame, 16 chuoi
  [158/379] BO QUA 29_3.mp4 (chi co 14 frame co pose < 40)
  [159/379] BO QUA 29_4.mp4 (chi co 14 frame co pose < 40)
  [160/379] BO QUA 29_5.mp4 (chi co 6 frame co pose < 40)
  [161/379] BO QUA 29_6.mp4 (chi co 25 frame co pose < 40)
  [162/379] OK 2_1.mp4 -> 136 frame, 20 chuoi
  [163/379] OK 2_10.mp4 -> 121 frame, 17 chuoi
  [164/379] OK 2_11.mp4 -> 109 frame, 14 chuoi
  [165/379] OK 2_12.mp4 -> 113 frame, 15 chuoi
  [166/379] OK 2_13.mp4 -> 100 frame, 13 chuoi
  [167/379] OK 2_14.mp4 -> 110 frame, 15 chuoi
  [168/379] OK 2_15.mp4 -> 112 frame, 15 chuoi
  [169/379] OK 2_16.mp4 -> 87 frame, 10 chuoi
  [170/379] OK 2_17.mp4 -> 123 frame, 17 chuoi
